Analysis.Id,Hypocotyl_FLT_Rep1,Hypocotyl_FLT_Rep2,Hypocotyl_FLT_Rep3,Hypocotyl_FLT_Rep4,Hypocotyl_FLT_Rep5,Hypocotyl_GC_Rep1,Hypocotyl_GC_Rep2,Hypocotyl_GC_Rep3,Hypocotyl_GC_Rep4,Hypocotyl_GC_Rep5,Root_FLT_Rep1,Root_FLT_Rep2,Root_FLT_Rep3,Root_FLT_Rep4,Root_FLT_Rep5,Root_GC_Rep1,Root_GC_Rep2,Root_GC_Rep3,Root_GC_Rep4,Root_GC_Rep5,Shoot_FLT_Rep1,Shoot_FLT_Rep2,Shoot_FLT_Rep3,Shoot_FLT_Rep4,Shoot_FLT_Rep5,Shoot_GC_Rep1,Shoot_GC_Rep2,Shoot_GC_Rep3,Shoot_GC_Rep4,Shoot_GC_Rep5,Whole-Plant_FLT_Rep1,Whole-Plant_FLT_Rep2,Whole-Plant_FLT_Rep3,Whole-Plant_GC_Rep1,Whole-Plant_GC_Rep2,Whole-Plant_GC_Rep3
Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
Variety,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT,Col-0 & WS-0 mixed WT
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial
Developmental,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling hypocotyl,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling shoots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots,12 day old seedling roots
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light,White light
Assay..RNAseq.,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling
Temperature,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24
Treatment.type,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight
Treatment.intensity,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Treament.timing,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Preservation.Method.,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater
