Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
Variety,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT
Radiation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation,Cosmic radiation during centrifugation
Gravity,0.09,0.09,0.09,0.18,0.18,0.18,0.36,0.36,0.36,0.57,0.57,0.57,0.57,1,1,1,uG,uG,uG,uG
Developmental,"Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings","Radical, hypocotyl and cotyledons emerged from seed coat, 6 day old light grown seedlings"
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light
Assay..RNAseq.,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling
Temperature,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24
Treatment.type,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight
Treatment.intensity,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Treament.timing,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Preservation.Method.,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze,Slow MELFI Freeze
